State_Code,NIC_2digit,A_formal,w_for_mean,Q_out_mean,L_formal_total,N_firms,Year,w_inf_mean,N_informal,State_Name,E_s,ln_w_inf,ln_A_formal,ln_Q_out
01,13,865490.5962454296,161184.96068162136,0,40502.9,14,2021-22,40.24215490682596,100,Jammu and Kashmir,0.653626732,3.694915075720135,13.67105178842722,0
01,14,661445.6368577696,194399.4352752184,0,2701.1333333333337,8,2021-22,18.838778318474418,131,Jammu and Kashmir,0.653626732,2.9359174219540916,13.402183077539146,0
03,13,1544078.997017296,128377.03631866962,1.291792137370755e-6,485495.361113516,143,2021-22,57.44144193526692,46,Punjab,0.094777288,4.050766027754741,14.249938172129339,1.2917913031183512e-6
03,14,1211123.3204973286,118797.34938581908,9.442941454359126e-7,347724.97794791154,179,2021-22,54.667201930992285,20,Punjab,0.094777288,4.001263930528744,14.007058850956922,9.44293699698542e-7
04,13,2453.2396740657487,187212.03708906996,0,237.26666666666668,1,2021-22,65.25782941670158,45,Chandigarh,0,4.178346030065012,7.978204431574296,0
04,14,3114920.061980101,300547.1293426847,0,40.873333333333335,1,2021-22,31.28475763511644,41,Chandigarh,0,3.4431310024206843,14.951714047588727,0
05,13,1682889.479988408,161851.51858333097,0,17382.296666666665,20,2021-22,90.2955294758323,58,Uttarakhand,0.017837838,4.503087951731539,14.33602280256059,0
05,14,861843.8823423387,137872.9582398969,0,5758.116666666667,6,2021-22,20.822092400539884,35,Uttarakhand,0.017837838,3.0360145576827056,13.666829422271492,0
06,13,1951574.1990936424,163995.25473729635,1.376968307129771e-6,370737.3057582253,190,2021-22,69.9338690724611,22,Haryana,0.102930809,4.247550067976771,14.484146886449896,1.3769673591340692e-6
06,14,1180560.6886760043,186014.41760816507,3.737068369325916e-5,375128.84783584066,167,2021-22,29.821444226788664,170,Haryana,0.102930809,3.3952277396456725,13.98150004348405,3.736998542675728e-5
07,13,1543658.4530643632,224311.20075291337,0,8627.6111112706,23,2021-22,44.900726815641356,260,Delhi,0.079858334,3.8044539820479586,14.249665775941299,0
07,14,1978516.3039089546,210582.29622696547,0,49315.8720018472,63,2021-22,18.835568897716033,196,Delhi,0.079858334,2.935747044973292,14.497857780313948,0
08,13,2788871.7471493855,189967.41061375095,1.3856552960762946e-5,370413.88898178726,197,2021-22,31.102608232978113,198,Rajasthan,0.166061376,3.4372916816807892,14.841147680306443,1.3856456959679405e-5
08,14,1140456.62827467,158220.2724649609,0,141510.40194367594,150,2021-22,29.260759466760693,192,Rajasthan,0.166061376,3.376247351056933,13.946939291289626,0
10,13,977575.7424858804,88458.47700776785,0,8303.936666666666,8,2021-22,78.8341990627567,255,Bihar,0.014015512,4.367346900972163,13.792831053758839,0
10,14,1330956.5835543054,194438.25509094566,0,182.16666666666666,3,2021-22,28.10781327378552,123,Bihar,0.014015512,3.3360475901381657,14.10140847742697,0
13,13,380051.5068493151,49315.06849315069,0,2.433333333333333,1,2021-22,33.60663921143341,11,Nagaland,0.052093023,3.514723643028099,12.848062066857567,0
14,13,718980.7191803132,79466.65337049123,0,56.013333333333335,2,2021-22,17.887861573679714,47,Manipur,1,2.8841223584409414,13.485589820182724,0
15,13,212427.86835541262,99771.24731587117,0,355.9166666666667,24,2021-22,33.517541489808,256,Mizoram,0.375,3.5120689283479036,12.26635776668943,0
15,14,203398.8913711356,103502.06350898964,0,569.11,21,2021-22,30.634777562552422,158,Mizoram,0.375,3.422135885258567,12.222924312095683,0
17,13,890087.7380952381,65376.19047619047,0,16.8,1,2021-22,29.18722943056649,149,Meghalaya,0.282131661,3.3737312653413176,13.699075318978904,0
18,13,1647578.2959025328,105107.72227476307,0,6807.326666666667,18,2021-22,35.98495093805251,24,Assam,0.164521693,3.5831008215588804,14.314817068297872,0
