period,A_formal,mu,Q_out,w_inf,wage_gap,model
1,100,0.32,0.1567830624122015,50,20,Displacement (Lewis/La Porta)
2,100,0.33999999999999997,0.1567830624122015,50,20,Displacement (Lewis/La Porta)
3,100,0.36,0.1567830624122015,50,20,Displacement (Lewis/La Porta)
4,100,0.38,0.1567830624122015,50,20,Displacement (Lewis/La Porta)
5,100,0.4,0.1567830624122015,50,20,Displacement (Lewis/La Porta)
6,100,0.42,0.1567830624122015,50,20,Displacement (Lewis/La Porta)
7,100,0.44,0.1567830624122015,50,20,Displacement (Lewis/La Porta)
8,100,0.45999999999999996,0.1567830624122015,50,20,Displacement (Lewis/La Porta)
9,100,0.48,0.1567830624122015,50,20,Displacement (Lewis/La Porta)
10,150,0.5,0.3620116968446721,62.5,7.5,Displacement (Lewis/La Porta)
11,150,0.52,0.3712629441241378,63,7,Displacement (Lewis/La Porta)
12,150,0.54,0.38053532159018444,63.5,6.5,Displacement (Lewis/La Porta)
13,150,0.56,0.38982192858250764,64,6,Displacement (Lewis/La Porta)
14,150,0.5800000000000001,0.3991159308272048,64.5,5.5,Displacement (Lewis/La Porta)
15,150,0.6,0.4084105786163938,65,5,Displacement (Lewis/La Porta)
16,150,0.62,0.41769922417976746,65.5,4.5,Displacement (Lewis/La Porta)
17,150,0.64,0.42697533816958194,66,4,Displacement (Lewis/La Porta)
18,150,0.6599999999999999,0.436232525190276,66.5,3.5,Displacement (Lewis/La Porta)
19,150,0.6799999999999999,0.4454645383139227,67,3,Displacement (Lewis/La Porta)
20,150,0.7,0.4546652925328608,67.5,2.5,Displacement (Lewis/La Porta)
21,150,0.72,0.463828877111036,68,2,Displacement (Lewis/La Porta)
22,150,0.74,0.4729495668056501,68.5,1.5,Displacement (Lewis/La Porta)
23,150,0.76,0.48202183194057696,69,1,Displacement (Lewis/La Porta)
24,150,0.78,0.49104034732252044,69.5,0.5,Displacement (Lewis/La Porta)
25,150,0.8,0.5,70,0,Displacement (Lewis/La Porta)
26,150,0.8200000000000001,0.5088958958738465,70.5,-0.5,Displacement (Lewis/La Porta)
27,150,0.8400000000000001,0.5177233651759042,71,-1,Displacement (Lewis/La Porta)
28,150,0.8600000000000001,0.5264779668400333,71.50000000000001,-1.5000000000000142,Displacement (Lewis/La Porta)
29,150,0.8799999999999999,0.5351554917962075,71.99999999999999,-1.9999999999999858,Displacement (Lewis/La Porta)
30,150,0.8999999999999999,0.5437519652245163,72.5,-2.5,Displacement (Lewis/La Porta)
1,100,0.15,0.43035729945313034,50,20,Adverse Incorporation (Structuralist)
2,100,0.15,0.43035729945313034,50,20,Adverse Incorporation (Structuralist)
3,100,0.15,0.43035729945313034,50,20,Adverse Incorporation (Structuralist)
4,100,0.15,0.43035729945313034,50,20,Adverse Incorporation (Structuralist)
5,100,0.15,0.43035729945313034,50,20,Adverse Incorporation (Structuralist)
6,100,0.15,0.43035729945313034,50,20,Adverse Incorporation (Structuralist)
7,100,0.15,0.43035729945313034,50,20,Adverse Incorporation (Structuralist)
8,100,0.15,0.43035729945313034,50,20,Adverse Incorporation (Structuralist)
9,100,0.15,0.43035729945313034,50,20,Adverse Incorporation (Structuralist)
10,150,0.15,0.44518956600921966,53.75,16.25,Adverse Incorporation (Structuralist)
11,150,0.15,0.44518956600921966,53.75,16.25,Adverse Incorporation (Structuralist)
12,150,0.15,0.44518956600921966,53.75,16.25,Adverse Incorporation (Structuralist)
13,150,0.15,0.44518956600921966,53.75,16.25,Adverse Incorporation (Structuralist)
14,150,0.15,0.44518956600921966,53.75,16.25,Adverse Incorporation (Structuralist)
15,150,0.15,0.44518956600921966,53.75,16.25,Adverse Incorporation (Structuralist)
16,150,0.15,0.44518956600921966,53.75,16.25,Adverse Incorporation (Structuralist)
17,150,0.15,0.44518956600921966,53.75,16.25,Adverse Incorporation (Structuralist)
18,150,0.15,0.44518956600921966,53.75,16.25,Adverse Incorporation (Structuralist)
19,150,0.15,0.44518956600921966,53.75,16.25,Adverse Incorporation (Structuralist)
20,150,0.15,0.44518956600921966,53.75,16.25,Adverse Incorporation (Structuralist)
21,150,0.15,0.44518956600921966,53.75,16.25,Adverse Incorporation (Structuralist)
22,150,0.15,0.44518956600921966,53.75,16.25,Adverse Incorporation (Structuralist)
23,150,0.15,0.44518956600921966,53.75,16.25,Adverse Incorporation (Structuralist)
24,150,0.15,0.44518956600921966,53.75,16.25,Adverse Incorporation (Structuralist)
25,150,0.15,0.44518956600921966,53.75,16.25,Adverse Incorporation (Structuralist)
26,150,0.15,0.44518956600921966,53.75,16.25,Adverse Incorporation (Structuralist)
27,150,0.15,0.44518956600921966,53.75,16.25,Adverse Incorporation (Structuralist)
28,150,0.15,0.44518956600921966,53.75,16.25,Adverse Incorporation (Structuralist)
29,150,0.15,0.44518956600921966,53.75,16.25,Adverse Incorporation (Structuralist)
30,150,0.15,0.44518956600921966,53.75,16.25,Adverse Incorporation (Structuralist)
